SR No,Warehouse Code,Warehouse Name,Warehouse State,Warehouse Location,CM Name,scheduled Auditor Name,scheduled Audit Date
1,3054006001,Suresh Kumar Jain And Prity Sethi Warehouse Godown No 1,Assam,Kamrup,National Collateral Management Services Ltd,Md. Amjad Ali,26.5.2026
2,3046005001,Sohizal Haque Warehouse,Assam,Darrang,Sohan Lal Commodity Management Private Limited,Md. Amjad Ali,26.5.2026
3,4670013004,Nutrilite Agro Product Private Limited,Bihar,Aurangabad,Arya Collateral Warehousing Services Pvt Ltd,Md. Amjad Ali,13.5.2026
4,4910041085,Utkarshini Rice Mill Wh,Bihar,Purnia,Go Green Warehouses Pvt Ltd,Md. Amjad Ali,5.5.2026
5,4910037058,Hansda Punam Warehouse Godown No 1,Bihar,Purnia,National Collateral Management Services Ltd,Md. Amjad Ali,5.5.2026
6,4910037066,Ncml Project Warehouse Silo No 4,Bihar,Purnia,National Collateral Management Services Ltd,Md. Amjad Ali,6.5.2026
7,4910037031,Ran Vijay Singh Wh Chamber No 1,Bihar,Purnia,National Collateral Management Services Ltd,Md. Amjad Ali,6.5.2026
8,4068002001,Rakesh Kumar Ray Warehouse,Bihar,Banka,Arya Collateral Warehousing Services Pvt Ltd,Md. Amjad Ali,16.5.2026
9,4860001002,Prakash Warehouse 1 And 2,Bihar,Munger,Arya Collateral Warehousing Services Pvt Ltd,Md. Amjad Ali,18.5.2026
10,4670013007,Satbahani Agro Private Limited Wh,Bihar,Aurangabad,Go Green Warehouses Pvt Ltd,Md. Amjad Ali,13.5.2026
11,4910039001,Jagdambaa Agro Mill Private Limited Silo No 1,Bihar,Purnia,Sohan Lal Commodity Management Private Limited,Md. Amjad Ali,6.5.2026
12,4067036001,Bhim Sen Warehouse,Bihar,Aurangabad,Arya Collateral Warehousing Services Pvt Ltd,Md. Amjad Ali,13.5.2026
13,4020004001,Maa Sidhidatri Warehouse,Bihar,West Champaran,Arya Collateral Warehousing Services Pvt Ltd,Md. Amjad Ali,23.5.2026
14,4067036002,Bhim Sen Warehouse,Bihar,Aurangabad,Arya Collateral Warehousing Services Pvt Ltd,Md. Amjad Ali,13.5.2026
15,4910041118,Santosh Kumar Jaiswal Wh Ch 01,Bihar,Purnia,Go Green Warehouses Pvt Ltd,Md. Amjad Ali,7.5.2026
16,15250036003,Sita Kumari Warehouse,Bihar,Aurangabad,Arya Collateral Warehousing Services Pvt Ltd,Md. Amjad Ali,14.5.2026
17,4910041023,Jagdamba Venture Ch No 01,Bihar,Purnia,Go Green Warehouses Pvt Ltd,Md. Amjad Ali,7.5.2026
18,15250036002,Nitesh Singh Warehouse,Bihar,Aurangabad,Arya Collateral Warehousing Services Pvt Ltd,Md. Amjad Ali,14.5.2026
19,4670018002,Narmadeshwar Rice Mills Private Limited Chamber No 1,Bihar,Aurangabad,Sohan Lal Commodity Management Private Limited,Md. Amjad Ali,14.5.2026
20,4670013012,Satyam Sai Warehouse,Bihar,Aurangabad,Go Green Warehouses Pvt Ltd,Md. Amjad Ali,14.5.2026
21,4740005002,Ashok Kumar Sinha Ch 01 To 05,Bihar,East Champaran,Go Green Warehouses Pvt Ltd,Md. Amjad Ali,25.5.2026
22,4670013014,Sunil Kumar Warehouse,Bihar,Aurangabad,Go Green Warehouses Pvt Ltd,Md. Amjad Ali,15.5.2026
23,4101012002,Annpurna Family Restaurant And Sweets Warehouse,Bihar,Vaishali,Arya Collateral Warehousing Services Pvt Ltd,Md. Amjad Ali,22.5.2026
24,4880003003,Patel Warehousing Private Limited,Bihar,Nalanda,Arya Collateral Warehousing Services Pvt Ltd,Md. Amjad Ali,19.5.2026
25,4670012001,Baba Agro Food Limited,Bihar,Aurangabad,Arya Collateral Warehousing Services Pvt Ltd,Md. Amjad Ali,15.5.2026
26,4820006001,Rekha Devi Agrawal,Bihar,Kishanganj,Arya Collateral Warehousing Services Pvt Ltd,Md. Amjad Ali,12.5.2026
27,4080023001,Rekha Kumar Warehouse,Bihar,Katihar,Arya Collateral Warehousing Services Pvt Ltd,Md. Amjad Ali,7.5.2026
28,4091106001,Bijli Yadav Warehouse,Bihar,Purnia,Arya Collateral Warehousing Services Pvt Ltd,Md. Amjad Ali,7.5.2026
